GeneId:START_ID(Gene),Relation:TYPE,ProteinId:END_ID(Protein),RelationName
114,GeneToProtein,P40145,Code
196883,GeneToProtein,Q8NFM4,Code
115,GeneToProtein,O60503,Code
120,GeneToProtein,Q9UEY8,Code
55811,GeneToProtein,Q96PN6,Code
119,GeneToProtein,P35612,Code
27299,GeneToProtein,O15204,Code
79747,GeneToProtein,Q8N7X0,Code
124,GeneToProtein,P07327,Code
125,GeneToProtein,P00325,Code
130,GeneToProtein,P28332,Code
126,GeneToProtein,P00326,Code
131,GeneToProtein,P40394,Code
127,GeneToProtein,P08319,Code
117178,GeneToProtein,Q9Y2D8,Code
128,GeneToProtein,P11766,Code
10974,GeneToProtein,Q15847,Code
79924,GeneToProtein,Q7Z4H4,Code
149685,GeneToProtein,Q0VDE8,Code
199800,GeneToProtein,C9JUS6,Code
22850,GeneToProtein,Q6IQ32,Code
388581,GeneToProtein,Q5T7M4,Code
133,GeneToProtein,P35318,Code
153,GeneToProtein,P08588,Code
56985,GeneToProtein,Q3LIE5,Code
132,GeneToProtein,P55263,Code
23394,GeneToProtein,Q9H2P0,Code
54936,GeneToProtein,Q9NX46,Code
141,GeneToProtein,P54922,Code
9370,GeneToProtein,Q15848,Code
83440,GeneToProtein,Q9BRR6,Code
155,GeneToProtein,P13945,Code
11047,GeneToProtein,Q16186,Code
60496,GeneToProtein,Q9NRN7,Code
291,GeneToProtein,P12235,Code
154,GeneToProtein,P07550,Code
64782,GeneToProtein,Q8WTP8,Code
2232,GeneToProtein,P22570,Code
165,GeneToProtein,Q8IUX7,Code
293,GeneToProtein,P12236,Code
54976,GeneToProtein,Q9GZN8,Code
134265,GeneToProtein,Q8TED9,Code
2230,GeneToProtein,P10109,Code
83447,GeneToProtein,Q9H0C2,Code
121536,GeneToProtein,Q6ZN18,Code
292,GeneToProtein,P05141,Code
158056,GeneToProtein,Q6UXC1,Code
84632,GeneToProtein,Q8N4X5,Code
653483,GeneToProtein,Q9Y6Z5,Code
84830,GeneToProtein,Q96IZ2,Code
173,GeneToProtein,P43652,Code
8028,GeneToProtein,P55197,Code
4300,GeneToProtein,P42568,Code
246269,GeneToProtein,Q8WV93,Code
10962,GeneToProtein,Q13015,Code
4299,GeneToProtein,P51825,Code
84890,GeneToProtein,Q96SZ5,Code
4302,GeneToProtein,P55198,Code
2334,GeneToProtein,P51816,Code
166378,GeneToProtein,Q8NB90,Code
60312,GeneToProtein,Q8N556,Code
3899,GeneToProtein,P51826,Code
79029,GeneToProtein,Q9BVQ7,Code
4301,GeneToProtein,P55196,Code
27125,GeneToProtein,Q9UHB7,Code
644974,GeneToProtein,C9J202,Code
54812,GeneToProtein,Q6ULP2,Code
119385,GeneToProtein,Q8TF27,Code
84920,GeneToProtein,Q5BKT4,Code
10939,GeneToProtein,Q9Y4W6,Code
144245,GeneToProtein,Q5I7T1,Code
116987,GeneToProtein,Q9UPQ3,Code
55109,GeneToProtein,Q8N302,Code
79992,GeneToProtein,Q9H0P7,Code
116986,GeneToProtein,Q99490,Code
2717,GeneToProtein,P06280,Code
3267,GeneToProtein,P52594,Code
55750,GeneToProtein,Q53H12,Code
116988,GeneToProtein,Q96P47,Code
3268,GeneToProtein,O95081,Code
119016,GeneToProtein,Q96P64,Code
729092,GeneToProtein,A6NIR3,Code
414189,GeneToProtein,Q5VW22,Code
653268,GeneToProtein,Q5VUJ5,Code
642517,GeneToProtein,Q5VTM2,Code
5238,GeneToProtein,O95394,Code
192669,GeneToProtein,Q9H9G7,Code
155465,GeneToProtein,Q8TD06,Code
26523,GeneToProtein,Q9UL18,Code
575,GeneToProtein,O14514,Code
221395,GeneToProtein,Q8IZF2,Code
30817,GeneToProtein,Q9UHX3,Code
84435,GeneToProtein,Q86SQ6,Code
192670,GeneToProtein,Q9HCK5,Code
283383,GeneToProtein,Q6QNK2,Code
84658,GeneToProtein,Q9BY15,Code
10551,GeneToProtein,O95994,Code
326342,GeneToProtein,Q86SQ3,Code
347088,GeneToProtein,Q7Z7M1,Code
576,GeneToProtein,O60241,Code
57211,GeneToProtein,Q86SQ4,Code
2015,GeneToProtein,Q14246,Code
25960,GeneToProtein,Q96PE1,Code
64123,GeneToProtein,Q9HBW9,Code
976,GeneToProtein,P48960,Code
84873,GeneToProtein,Q96K78,Code
