GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
24,GeneToDisease,C4282180,0.493,0.769,Relate to
25,GeneToDisease,C0001418,0.432,0.923,Relate to
25,GeneToDisease,C0003706,0.432,0.923,Relate to
25,GeneToDisease,C0005941,0.432,0.923,Relate to
25,GeneToDisease,C0006142,0.432,0.923,Relate to
25,GeneToDisease,C0006413,0.432,0.923,Relate to
25,GeneToDisease,C0014859,0.432,0.923,Relate to
25,GeneToDisease,C0015544,0.432,0.923,Relate to
25,GeneToDisease,C0018798,0.432,0.923,Relate to
25,GeneToDisease,C0023452,0.432,0.923,Relate to
25,GeneToDisease,C0023453,0.432,0.923,Relate to
25,GeneToDisease,C0023473,0.432,0.923,Relate to
25,GeneToDisease,C0023903,0.432,0.923,Relate to
25,GeneToDisease,C0025202,0.432,0.923,Relate to
25,GeneToDisease,C0032927,0.432,0.923,Relate to
25,GeneToDisease,C0039075,0.432,0.923,Relate to
25,GeneToDisease,C0151491,0.432,0.923,Relate to
25,GeneToDisease,C0205641,0.432,0.923,Relate to
25,GeneToDisease,C0205642,0.432,0.923,Relate to
25,GeneToDisease,C0205643,0.432,0.923,Relate to
25,GeneToDisease,C0205644,0.432,0.923,Relate to
25,GeneToDisease,C0205645,0.432,0.923,Relate to
25,GeneToDisease,C0265610,0.432,0.923,Relate to
25,GeneToDisease,C0282313,0.432,0.923,Relate to
25,GeneToDisease,C0345904,0.432,0.923,Relate to
25,GeneToDisease,C0345958,0.432,0.923,Relate to
25,GeneToDisease,C0546837,0.432,0.923,Relate to
25,GeneToDisease,C0596263,0.432,0.923,Relate to
25,GeneToDisease,C0678222,0.432,0.923,Relate to
25,GeneToDisease,C1257931,0.432,0.923,Relate to
25,GeneToDisease,C1292769,0.432,0.923,Relate to
25,GeneToDisease,C1458155,0.432,0.923,Relate to
25,GeneToDisease,C1961099,0.432,0.923,Relate to
25,GeneToDisease,C1961102,0.432,0.923,Relate to
25,GeneToDisease,C4539857,0.432,0.923,Relate to
25,GeneToDisease,C4551485,0.432,0.923,Relate to
25,GeneToDisease,C4704874,0.432,0.923,Relate to
26,GeneToDisease,C0020538,0.628,0.769,Relate to
26,GeneToDisease,C1383860,0.628,0.769,Relate to
28,GeneToDisease,C0001973,0.427,0.885,Relate to
28,GeneToDisease,C0010054,0.427,0.885,Relate to
28,GeneToDisease,C0010474,0.427,0.885,Relate to
28,GeneToDisease,C0013295,0.427,0.885,Relate to
28,GeneToDisease,C0030297,0.427,0.885,Relate to
28,GeneToDisease,C0033578,0.427,0.885,Relate to
28,GeneToDisease,C0038454,0.427,0.885,Relate to
28,GeneToDisease,C0085762,0.427,0.885,Relate to
28,GeneToDisease,C0346647,0.427,0.885,Relate to
28,GeneToDisease,C0376358,0.427,0.885,Relate to
28,GeneToDisease,C0525045,0.427,0.885,Relate to
28,GeneToDisease,C0751956,0.427,0.885,Relate to
28,GeneToDisease,C1956346,0.427,0.885,Relate to
28,GeneToDisease,C4317009,0.427,0.885,Relate to
28,GeneToDisease,C4505353,0.427,0.885,Relate to
28,GeneToDisease,C4721610,0.427,0.885,Relate to
29,GeneToDisease,C0033578,0.65,0.5,Relate to
29,GeneToDisease,C0376358,0.65,0.5,Relate to
31,GeneToDisease,C0009402,0.48,0.846,Relate to
31,GeneToDisease,C0018801,0.48,0.846,Relate to
31,GeneToDisease,C0018802,0.48,0.846,Relate to
31,GeneToDisease,C0023212,0.48,0.846,Relate to
31,GeneToDisease,C0235527,0.48,0.846,Relate to
31,GeneToDisease,C0268603,0.48,0.846,Relate to
31,GeneToDisease,C1959583,0.48,0.846,Relate to
31,GeneToDisease,C1961112,0.48,0.846,Relate to
31,GeneToDisease,C2239176,0.48,0.846,Relate to
32,GeneToDisease,C0021655,0.644,0.654,Relate to
32,GeneToDisease,C0028754,0.644,0.654,Relate to
32,GeneToDisease,C0920563,0.644,0.654,Relate to
32,GeneToDisease,C1335302,0.644,0.654,Relate to
33,GeneToDisease,C0220711,0.736,0.462,Relate to
34,GeneToDisease,C0006142,0.638,0.462,Relate to
34,GeneToDisease,C0028754,0.638,0.462,Relate to
34,GeneToDisease,C0035410,0.638,0.462,Relate to
34,GeneToDisease,C0038644,0.638,0.462,Relate to
34,GeneToDisease,C0085605,0.638,0.462,Relate to
34,GeneToDisease,C0220710,0.638,0.462,Relate to
34,GeneToDisease,C0520459,0.638,0.462,Relate to
35,GeneToDisease,C0005586,0.663,0.538,Relate to
35,GeneToDisease,C0018801,0.663,0.538,Relate to
35,GeneToDisease,C0018802,0.663,0.538,Relate to
35,GeneToDisease,C0023212,0.663,0.538,Relate to
35,GeneToDisease,C0235527,0.663,0.538,Relate to
35,GeneToDisease,C0342783,0.663,0.538,Relate to
35,GeneToDisease,C1959583,0.663,0.538,Relate to
35,GeneToDisease,C1961112,0.663,0.538,Relate to
36,GeneToDisease,C0004352,0.691,0.5,Relate to
36,GeneToDisease,C1864912,0.691,0.5,Relate to
37,GeneToDisease,C0003129,0.653,0.654,Relate to
37,GeneToDisease,C0003130,0.653,0.654,Relate to
37,GeneToDisease,C0242184,0.653,0.654,Relate to
37,GeneToDisease,C0270984,0.653,0.654,Relate to
