GeneId:START_ID(Gene),Relation:TYPE,GeneId:END_ID(Gene),RelationName
5921,GeneToGene,4792,Phenotypic suppression
5921,GeneToGene,8945,Phenotypic suppression
55355,GeneToGene,1058,Phenotypic enhancement
3320,GeneToGene,10598,Dosage rescue
1026,GeneToGene,1027,Phenotypic enhancement
5590,GeneToGene,7031,Phenotypic enhancement
8202,GeneToGene,7031,Phenotypic enhancement
2099,GeneToGene,7031,Phenotypic enhancement
23462,GeneToGene,4851,Negative genetic interaction
23493,GeneToGene,4851,Negative genetic interaction
1786,GeneToGene,1789,Phenotypic suppression
6256,GeneToGene,3164,Phenotypic enhancement
3172,GeneToGene,3172,Phenotypic suppression
4851,GeneToGene,351,Phenotypic suppression
4851,GeneToGene,322,Phenotypic suppression
4851,GeneToGene,10524,Phenotypic suppression
8202,GeneToGene,93649,Phenotypic enhancement
8284,GeneToGene,8290,Phenotypic enhancement
8202,GeneToGene,1050,Phenotypic enhancement
8202,GeneToGene,1052,Phenotypic enhancement
23426,GeneToGene,1499,Phenotypic enhancement
57658,GeneToGene,1499,Phenotypic enhancement
10461,GeneToGene,3693,Phenotypic enhancement
1017,GeneToGene,4286,Dosage rescue
301,GeneToGene,301,Dosage rescue
595,GeneToGene,55600,Dosage rescue
596,GeneToGene,55600,Dosage rescue
4609,GeneToGene,157,Dosage lethality
4609,GeneToGene,226,Dosage lethality
4609,GeneToGene,80216,Dosage lethality
4609,GeneToGene,84883,Dosage lethality
4609,GeneToGene,63941,Dosage lethality
4609,GeneToGene,10290,Dosage lethality
4609,GeneToGene,10564,Dosage lethality
4609,GeneToGene,23020,Dosage lethality
4609,GeneToGene,513,Dosage lethality
4609,GeneToGene,657,Dosage lethality
4609,GeneToGene,663,Dosage lethality
4609,GeneToGene,666,Dosage lethality
4609,GeneToGene,23476,Dosage lethality
4609,GeneToGene,695,Dosage lethality
4609,GeneToGene,348487,Dosage lethality
4609,GeneToGene,57172,Dosage lethality
4609,GeneToGene,817,Dosage lethality
4609,GeneToGene,818,Dosage lethality
4609,GeneToGene,8812,Dosage lethality
4609,GeneToGene,1003,Dosage lethality
4609,GeneToGene,1017,Dosage lethality
4609,GeneToGene,27443,Dosage lethality
4609,GeneToGene,1373,Dosage lethality
4609,GeneToGene,8738,Dosage lethality
4609,GeneToGene,51755,Dosage lethality
4609,GeneToGene,1454,Dosage lethality
4609,GeneToGene,1503,Dosage lethality
4609,GeneToGene,1509,Dosage lethality
4609,GeneToGene,30827,Dosage lethality
4609,GeneToGene,1643,Dosage lethality
4609,GeneToGene,1946,Dosage lethality
4609,GeneToGene,26271,Dosage lethality
4609,GeneToGene,2735,Dosage lethality
4609,GeneToGene,2798,Dosage lethality
4609,GeneToGene,6011,Dosage lethality
4609,GeneToGene,83903,Dosage lethality
4609,GeneToGene,2968,Dosage lethality
4609,GeneToGene,3055,Dosage lethality
4609,GeneToGene,79654,Dosage lethality
4609,GeneToGene,3257,Dosage lethality
4609,GeneToGene,3295,Dosage lethality
4609,GeneToGene,3396,Dosage lethality
4609,GeneToGene,3482,Dosage lethality
4609,GeneToGene,8660,Dosage lethality
4609,GeneToGene,3693,Dosage lethality
4609,GeneToGene,81930,Dosage lethality
4609,GeneToGene,9113,Dosage lethality
4609,GeneToGene,3985,Dosage lethality
4609,GeneToGene,5606,Dosage lethality
4609,GeneToGene,5609,Dosage lethality
4609,GeneToGene,9175,Dosage lethality
4609,GeneToGene,4145,Dosage lethality
4609,GeneToGene,4170,Dosage lethality
4609,GeneToGene,79172,Dosage lethality
4609,GeneToGene,91807,Dosage lethality
4609,GeneToGene,4638,Dosage lethality
4609,GeneToGene,140469,Dosage lethality
4609,GeneToGene,79661,Dosage lethality
4609,GeneToGene,4751,Dosage lethality
4609,GeneToGene,4835,Dosage lethality
4609,GeneToGene,10062,Dosage lethality
4609,GeneToGene,4914,Dosage lethality
4609,GeneToGene,56924,Dosage lethality
4609,GeneToGene,55872,Dosage lethality
4609,GeneToGene,5092,Dosage lethality
4609,GeneToGene,5163,Dosage lethality
4609,GeneToGene,23481,Dosage lethality
4609,GeneToGene,5298,Dosage lethality
4609,GeneToGene,5585,Dosage lethality
4609,GeneToGene,5422,Dosage lethality
4609,GeneToGene,5429,Dosage lethality
4609,GeneToGene,5434,Dosage lethality
4609,GeneToGene,5438,Dosage lethality
4609,GeneToGene,9055,Dosage lethality
4609,GeneToGene,5701,Dosage lethality
4609,GeneToGene,8073,Dosage lethality
4609,GeneToGene,5780,Dosage lethality
4609,GeneToGene,5885,Dosage lethality
4609,GeneToGene,5923,Dosage lethality
4609,GeneToGene,8045,Dosage lethality
4609,GeneToGene,51455,Dosage lethality
4609,GeneToGene,57410,Dosage lethality
4609,GeneToGene,6385,Dosage lethality
4609,GeneToGene,30011,Dosage lethality
4609,GeneToGene,6509,Dosage lethality
4609,GeneToGene,115286,Dosage lethality
4609,GeneToGene,55959,Dosage lethality
4609,GeneToGene,6799,Dosage lethality
4609,GeneToGene,6839,Dosage lethality
4609,GeneToGene,7075,Dosage lethality
4609,GeneToGene,10221,Dosage lethality
4609,GeneToGene,9319,Dosage lethality
4609,GeneToGene,8295,Dosage lethality
4609,GeneToGene,7294,Dosage lethality
4609,GeneToGene,7329,Dosage lethality
4609,GeneToGene,55559,Dosage lethality
4609,GeneToGene,7465,Dosage lethality
4609,GeneToGene,494551,Dosage lethality
4609,GeneToGene,65125,Dosage lethality
4609,GeneToGene,7525,Dosage lethality
1454,GeneToGene,4613,Synthetic growth defect
9590,GeneToGene,51564,Synthetic rescue
3065,GeneToGene,860,Phenotypic enhancement
79727,GeneToGene,84444,Phenotypic suppression
79923,GeneToGene,84444,Phenotypic suppression
7022,GeneToGene,4609,Phenotypic enhancement
7022,GeneToGene,10765,Phenotypic enhancement
22926,GeneToGene,6667,Phenotypic enhancement
4131,GeneToGene,54708,Synthetic rescue
1026,GeneToGene,8626,Synthetic rescue
7157,GeneToGene,8626,Synthetic rescue
5934,GeneToGene,8626,Synthetic rescue
4193,GeneToGene,7157,Phenotypic suppression
5071,GeneToGene,65018,Phenotypic suppression
5071,GeneToGene,6622,Phenotypic suppression
5071,GeneToGene,2861,Phenotypic suppression
25942,GeneToGene,6622,Phenotypic suppression
11315,GeneToGene,10891,Phenotypic enhancement
10498,GeneToGene,23637,Phenotypic suppression
1915,GeneToGene,6002,Phenotypic suppression
4361,GeneToGene,8318,Synthetic growth defect
4361,GeneToGene,5422,Synthetic growth defect
4361,GeneToGene,9837,Synthetic growth defect
4361,GeneToGene,4171,Synthetic growth defect
9261,GeneToGene,1111,Phenotypic suppression
2521,GeneToGene,5976,Dosage rescue
23077,GeneToGene,6092,Phenotypic suppression
7078,GeneToGene,186,Dosage lethality
7078,GeneToGene,186,Phenotypic enhancement
1026,GeneToGene,55905,Phenotypic suppression
55366,GeneToGene,84133,Phenotypic enhancement
1499,GeneToGene,284252,Phenotypic suppression
89780,GeneToGene,284252,Phenotypic suppression
284252,GeneToGene,324,Phenotypic suppression
55611,GeneToGene,57407,Phenotypic suppression
5715,GeneToGene,1147,Phenotypic suppression
7124,GeneToGene,1147,Phenotypic suppression
7124,GeneToGene,5715,Phenotypic suppression
5715,GeneToGene,7124,Phenotypic enhancement
3178,GeneToGene,7124,Phenotypic enhancement
55294,GeneToGene,10413,Phenotypic suppression
7157,GeneToGene,51701,Phenotypic enhancement
7157,GeneToGene,7266,Phenotypic enhancement
7157,GeneToGene,7266,Synthetic growth defect
7157,GeneToGene,54739,Phenotypic enhancement
6478,GeneToGene,54739,Phenotypic suppression
54739,GeneToGene,28996,Phenotypic suppression
7297,GeneToGene,10572,Phenotypic enhancement
50943,GeneToGene,10572,Phenotypic enhancement
11186,GeneToGene,1877,Phenotypic enhancement
1540,GeneToGene,22919,Phenotypic enhancement
55835,GeneToGene,1387,Phenotypic enhancement
672,GeneToGene,23064,Synthetic growth defect
672,GeneToGene,170082,Synthetic growth defect
672,GeneToGene,6919,Synthetic growth defect
672,GeneToGene,4796,Synthetic growth defect
4796,GeneToGene,672,Synthetic growth defect
672,GeneToGene,6749,Synthetic growth defect
672,GeneToGene,11198,Synthetic growth defect
2033,GeneToGene,1499,Phenotypic enhancement
2033,GeneToGene,2314,Phenotypic suppression
58513,GeneToGene,3268,Phenotypic enhancement
2060,GeneToGene,3268,Phenotypic enhancement
3065,GeneToGene,81631,Synthetic rescue
9826,GeneToGene,2768,Phenotypic enhancement
9826,GeneToGene,10672,Phenotypic enhancement
6597,GeneToGene,3065,Phenotypic suppression
8312,GeneToGene,7157,Phenotypic suppression
2521,GeneToGene,26019,Dosage rescue
2521,GeneToGene,65110,Dosage rescue
5970,GeneToGene,367,Phenotypic suppression
367,GeneToGene,5970,Phenotypic suppression
1999,GeneToGene,9439,Phenotypic suppression
93649,GeneToGene,8202,Phenotypic suppression
581,GeneToGene,989,Dosage rescue
581,GeneToGene,10971,Dosage rescue
11171,GeneToGene,4088,Phenotypic suppression
7046,GeneToGene,7048,Phenotypic enhancement
4088,GeneToGene,11171,Phenotypic suppression
23533,GeneToGene,5294,Phenotypic enhancement
23533,GeneToGene,2782,Phenotypic enhancement
23533,GeneToGene,54331,Phenotypic enhancement
5294,GeneToGene,2782,Phenotypic enhancement
5294,GeneToGene,54331,Phenotypic enhancement
2357,GeneToGene,5294,Phenotypic enhancement
2357,GeneToGene,23533,Phenotypic enhancement
6047,GeneToGene,8648,Phenotypic enhancement
6047,GeneToGene,6908,Phenotypic enhancement
641,GeneToGene,9716,Synthetic growth defect
9232,GeneToGene,1719,Synthetic growth defect
641,GeneToGene,7415,Synthetic growth defect
3845,GeneToGene,9984,Synthetic growth defect
641,GeneToGene,253714,Synthetic growth defect
3845,GeneToGene,6872,Synthetic growth defect
3845,GeneToGene,5604,Synthetic growth defect
641,GeneToGene,2005,Synthetic growth defect
641,GeneToGene,6208,Synthetic growth defect
641,GeneToGene,22858,Synthetic growth defect
641,GeneToGene,331,Synthetic growth defect
641,GeneToGene,23020,Synthetic growth defect
641,GeneToGene,5455,Synthetic growth defect
641,GeneToGene,6829,Synthetic growth defect
641,GeneToGene,6233,Synthetic growth defect
641,GeneToGene,79913,Synthetic growth defect
641,GeneToGene,6167,Synthetic growth defect
641,GeneToGene,5887,Synthetic growth defect
641,GeneToGene,89870,Synthetic growth defect
641,GeneToGene,81603,Synthetic growth defect
641,GeneToGene,5888,Synthetic growth defect
641,GeneToGene,11219,Synthetic growth defect
641,GeneToGene,9045,Synthetic growth defect
641,GeneToGene,6239,Synthetic growth defect
